         CN num,      gen-CN num,      surface CN,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,      chemSROP12, mean CN of NN Ni,  0.2742,  0.2677,  0.0032,  0.0109, -0.3611,  0.0077,  0.0118, -0.3587
mean CN of NN Ni,      chemSROP12,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num, mean CN of NN Ni,      chemSROP22,  0.2623,  0.2561,  0.0023,  0.0057, -0.4098,  0.0023,  0.0142, -0.4029
         CN num,      chemSROP22, mean CN of NN Ni,  0.2742,  0.2678,  0.0001,  0.0108, -0.3601,  0.0017,  0.0117, -0.3575
mean CN of NN Ni,      chemSROP22,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num, mean CN of NN Ni,       gCN-Ni-Ni,  0.2623,  0.2562,  0.0023,  0.0006, -0.4092,  0.0023,  0.0000, -0.4018
         CN num,       gCN-Ni-Ni, mean CN of NN Ni,  0.2699,  0.2640,  0.0129,  0.0052, -0.3591,  0.0123,  0.0063, -0.3556
mean CN of NN Ni,       gCN-Ni-Ni,          CN num,  0.1333,  0.1320,  0.0034,  0.1854, -1.7626,  0.0034,  0.1846, -1.7526
         CN num, mean CN of NN Ni,       gCN-Ni-Pt,  0.2623,  0.2562,  0.0023,  0.0000, -0.4092,  0.0023,  0.0000, -0.4018
         CN num,       gCN-Ni-Pt, mean CN of NN Ni,  0.2668,  0.2608,  0.0141,  0.0000, -0.3731,  0.0143,  0.0000, -0.3659
mean CN of NN Ni,       gCN-Ni-Pt,          CN num,  0.1341,  0.1325,  0.0015,  0.1859, -1.7655,  0.0019,  0.1845, -1.7541
         CN num, mean CN of NN Ni,       gCN-Pt-Ni,  0.2551,  0.2490,  0.0014,  0.1530, -0.4896,  0.0014,  0.1495, -0.4808
         CN num,       gCN-Pt-Ni, mean CN of NN Ni,  0.2382,  0.2338,  0.0339,  0.0000, -0.5227,  0.0330,  0.0000, -0.5103
mean CN of NN Ni,       gCN-Pt-Ni,          CN num,  0.1330,  0.1317,  0.0033,  0.1829, -1.7531,  0.0032,  0.1819, -1.7420
         CN num, mean CN of NN Ni,       gCN-Pt-Pt,  0.1906,  0.1892,  0.0041,  0.1259, -1.0574,  0.0041,  0.1222, -1.0328
         CN num,       gCN-Pt-Pt, mean CN of NN Ni,  0.1814,  0.1790,  0.0139,  0.0261, -0.9531,  0.0137,  0.0261, -0.9394
mean CN of NN Ni,       gCN-Pt-Pt,          CN num,  0.1342,  0.1328,  0.0005,  0.1849, -1.7585,  0.0005,  0.1838, -1.7475
         CN num, mean CN of NN Ni,        gCN-Ni-X,  0.2623,  0.2562,  0.0023,  0.0000, -0.4092,  0.0023,  0.0000, -0.4018
         CN num,        gCN-Ni-X, mean CN of NN Ni,  0.2667,  0.2609,  0.0088,  0.0000, -0.3662,  0.0090,  0.0000, -0.3585
mean CN of NN Ni,        gCN-Ni-X,          CN num,  0.1337,  0.1321,  0.0013,  0.1852, -1.7630,  0.0014,  0.1840, -1.7521
         CN num, mean CN of NN Ni,        gCN-Pt-X,  0.1739,  0.1729,  0.0035,  0.1365, -1.1839,  0.0034,  0.1332, -1.1600
         CN num,        gCN-Pt-X, mean CN of NN Ni,  0.1602,  0.1584,  0.0139,  0.0203, -1.0116,  0.0137,  0.0203, -0.9992
mean CN of NN Ni,        gCN-Pt-X,          CN num,  0.1339,  0.1325,  0.0005,  0.1839, -1.7549,  0.0005,  0.1829, -1.7439
         CN num, mean CN of NN Ni,           CN-Pt,  0.1780,  0.1759,  0.0035,  0.1191, -1.2611,  0.0035,  0.1167, -1.2398
         CN num,           CN-Pt, mean CN of NN Ni,  0.1592,  0.1567,  0.0120,  0.0198, -1.0583,  0.0118,  0.0200, -1.0480
mean CN of NN Ni,           CN-Pt,          CN num,  0.1339,  0.1325,  0.0004,  0.1843, -1.7576,  0.0004,  0.1832, -1.7462
         CN num, mean CN of NN Ni,  exp neg strain,  0.2584,  0.2516,  0.0022,  0.7831, -1.1803,  0.0022,  0.8563, -1.2441
         CN num,  exp neg strain, mean CN of NN Ni,  0.1188,  0.1168,  0.1867,  0.0000, -1.7500,  0.1859,  0.0000, -1.7396
mean CN of NN Ni,  exp neg strain,          CN num,  0.1339,  0.1323,  0.0027,  0.1860, -1.7728,  0.0030,  0.1847, -1.7617
         CN num, mean CN of NN Ni,          strain,  0.2623,  0.2562,  0.0023,  0.0000, -0.4092,  0.0023,  0.0000, -0.4018
         CN num,          strain, mean CN of NN Ni,  0.2742,  0.2678,  0.0000,  0.0108, -0.3600,  0.0000,  0.0116, -0.3564
mean CN of NN Ni,          strain,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num, mean CN of NN Ni,  inverse strain,  0.2623,  0.2562,  0.0023,  0.0000, -0.4092,  0.0023,  0.0000, -0.4018
         CN num,  inverse strain, mean CN of NN Ni,  0.2742,  0.2678,  0.0000,  0.0108, -0.3600,  0.0000,  0.0116, -0.3564
mean CN of NN Ni,  inverse strain,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num, rms CN of NN Ni, sub surface Ni num,  0.2554,  0.2498,  0.0009,  0.1085, -0.3953,  0.0010,  0.1032, -0.3890
         CN num, sub surface Ni num, rms CN of NN Ni,  0.2522,  0.2472,  0.0183,  0.0000, -0.3692,  0.0179,  0.0000, -0.3598
rms CN of NN Ni, sub surface Ni num,          CN num,  0.1284,  0.1274,  0.0049,  0.1781, -1.7211,  0.0047,  0.1773, -1.7107
         CN num, rms CN of NN Ni,             BOO,  0.2616,  0.2558,  0.0023,  0.2536, -0.6503,  0.0023,  0.1973, -0.5889
         CN num,             BOO, rms CN of NN Ni,  0.1774,  0.1776,  0.1468,  0.0067, -1.4225,  0.1422,  0.0068, -1.3851
rms CN of NN Ni,             BOO,          CN num,  0.1345,  0.1330,  0.0011,  0.1872, -1.7710,  0.0014,  0.1860, -1.7605
         CN num, rms CN of NN Ni,  Pt bond length,  0.2625,  0.2563,  0.0023,  0.0000, -0.4089,  0.0023,  0.0000, -0.4015
         CN num,  Pt bond length, rms CN of NN Ni,  0.1558,  0.1539,  0.0626,  0.0032, -1.6738,  0.0621,  0.0036, -1.6631
rms CN of NN Ni,  Pt bond length,          CN num,  0.1345,  0.1330,  0.0004,  0.1872, -1.7715,  0.0005,  0.1860, -1.7613
         CN num, rms CN of NN Ni,    surface curv,  0.2625,  0.2563,  0.0023,  0.0000, -0.4089,  0.0023,  0.0000, -0.4015
         CN num,    surface curv, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0000,  0.0115, -0.3559
rms CN of NN Ni,    surface curv,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7612
         CN num, rms CN of NN Ni,      chemSROP11,  0.2624,  0.2562,  0.0023,  0.0447, -0.4087,  0.0023,  0.0574, -0.4012
         CN num,      chemSROP11, rms CN of NN Ni,  0.2743,  0.2679,  0.0056,  0.0106, -0.3592,  0.0056,  0.0115, -0.3557
rms CN of NN Ni,      chemSROP11,          CN num,  0.1343,  0.1330,  0.0058,  0.1880, -1.7711,  0.0045,  0.1871, -1.7608
         CN num, rms CN of NN Ni,      chemSROP12,  0.2624,  0.2561,  0.0023,  0.0376, -0.4105,  0.0023,  0.0674, -0.4040
         CN num,      chemSROP12, rms CN of NN Ni,  0.2743,  0.2678,  0.0032,  0.0107, -0.3605,  0.0077,  0.0117, -0.3582
rms CN of NN Ni,      chemSROP12,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num, rms CN of NN Ni,      chemSROP22,  0.2624,  0.2563,  0.0023,  0.0057, -0.4094,  0.0023,  0.0143, -0.4026
         CN num,      chemSROP22, rms CN of NN Ni,  0.2743,  0.2679,  0.0001,  0.0106, -0.3595,  0.0017,  0.0116, -0.3570
rms CN of NN Ni,      chemSROP22,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num, rms CN of NN Ni,       gCN-Ni-Ni,  0.2625,  0.2563,  0.0023,  0.0003, -0.4089,  0.0023,  0.0000, -0.4015
         CN num,       gCN-Ni-Ni, rms CN of NN Ni,  0.2700,  0.2641,  0.0130,  0.0050, -0.3582,  0.0124,  0.0061, -0.3548
rms CN of NN Ni,       gCN-Ni-Ni,          CN num,  0.1334,  0.1320,  0.0032,  0.1855, -1.7629,  0.0032,  0.1846, -1.7529
         CN num, rms CN of NN Ni,       gCN-Ni-Pt,  0.2625,  0.2563,  0.0023,  0.0000, -0.4089,  0.0023,  0.0000, -0.4015
         CN num,       gCN-Ni-Pt, rms CN of NN Ni,  0.2668,  0.2608,  0.0141,  0.0000, -0.3731,  0.0143,  0.0000, -0.3659
rms CN of NN Ni,       gCN-Ni-Pt,          CN num,  0.1342,  0.1325,  0.0014,  0.1860, -1.7658,  0.0018,  0.1846, -1.7545
         CN num, rms CN of NN Ni,       gCN-Pt-Ni,  0.2552,  0.2492,  0.0013,  0.1537, -0.4893,  0.0014,  0.1500, -0.4806
         CN num,       gCN-Pt-Ni, rms CN of NN Ni,  0.2382,  0.2338,  0.0339,  0.0000, -0.5227,  0.0330,  0.0000, -0.5103
rms CN of NN Ni,       gCN-Pt-Ni,          CN num,  0.1331,  0.1318,  0.0033,  0.1830, -1.7536,  0.0032,  0.1820, -1.7424
         CN num, rms CN of NN Ni,       gCN-Pt-Pt,  0.1901,  0.1887,  0.0042,  0.1267, -1.0629,  0.0041,  0.1230, -1.0382
         CN num,       gCN-Pt-Pt, rms CN of NN Ni,  0.1811,  0.1787,  0.0140,  0.0261, -0.9562,  0.0137,  0.0261, -0.9426
rms CN of NN Ni,       gCN-Pt-Pt,          CN num,  0.1342,  0.1328,  0.0005,  0.1850, -1.7588,  0.0005,  0.1839, -1.7478
         CN num, rms CN of NN Ni,        gCN-Ni-X,  0.2625,  0.2563,  0.0023,  0.0000, -0.4089,  0.0023,  0.0000, -0.4015
         CN num,        gCN-Ni-X, rms CN of NN Ni,  0.2667,  0.2609,  0.0088,  0.0000, -0.3662,  0.0090,  0.0000, -0.3585
rms CN of NN Ni,        gCN-Ni-X,          CN num,  0.1338,  0.1322,  0.0012,  0.1853, -1.7634,  0.0014,  0.1841, -1.7525
         CN num, rms CN of NN Ni,        gCN-Pt-X,  0.1735,  0.1725,  0.0035,  0.1371, -1.1884,  0.0034,  0.1338, -1.1644
         CN num,        gCN-Pt-X, rms CN of NN Ni,  0.1600,  0.1582,  0.0140,  0.0203, -1.0137,  0.0137,  0.0203, -1.0013
rms CN of NN Ni,        gCN-Pt-X,          CN num,  0.1339,  0.1325,  0.0005,  0.1840, -1.7553,  0.0005,  0.1829, -1.7442
         CN num, rms CN of NN Ni,           CN-Pt,  0.1775,  0.1754,  0.0035,  0.1197, -1.2667,  0.0035,  0.1173, -1.2453
         CN num,           CN-Pt, rms CN of NN Ni,  0.1589,  0.1564,  0.0120,  0.0199, -1.0608,  0.0118,  0.0200, -1.0504
rms CN of NN Ni,           CN-Pt,          CN num,  0.1340,  0.1325,  0.0004,  0.1844, -1.7579,  0.0004,  0.1832, -1.7465
         CN num, rms CN of NN Ni,  exp neg strain,  0.2586,  0.2518,  0.0021,  0.7838, -1.1807,  0.0021,  0.8562, -1.2436
         CN num,  exp neg strain, rms CN of NN Ni,  0.1188,  0.1168,  0.1867,  0.0000, -1.7500,  0.1859,  0.0000, -1.7396
rms CN of NN Ni,  exp neg strain,          CN num,  0.1339,  0.1323,  0.0026,  0.1861, -1.7728,  0.0029,  0.1848, -1.7618
         CN num, rms CN of NN Ni,          strain,  0.2625,  0.2563,  0.0023,  0.0000, -0.4089,  0.0023,  0.0000, -0.4015
         CN num,          strain, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0000,  0.0115, -0.3559
rms CN of NN Ni,          strain,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num, rms CN of NN Ni,  inverse strain,  0.2625,  0.2563,  0.0023,  0.0000, -0.4089,  0.0023,  0.0000, -0.4015
         CN num,  inverse strain, rms CN of NN Ni,  0.2743,  0.2679,  0.0000,  0.0106, -0.3594,  0.0000,  0.0115, -0.3559
rms CN of NN Ni,  inverse strain,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num, sub surface Ni num,             BOO,  0.2518,  0.2471,  0.0183,  0.1602, -0.5201,  0.0179,  0.0993, -0.4532
         CN num,             BOO, sub surface Ni num,  0.1700,  0.1712,  0.1386,  0.0824, -1.3606,  0.1343,  0.0796, -1.3234
sub surface Ni num,             BOO,          CN num,  0.1296,  0.1284,  0.0535,  0.1789, -1.7252,  0.0520,  0.1780, -1.7148
         CN num, sub surface Ni num,  Pt bond length,  0.2522,  0.2472,  0.0183,  0.0000, -0.3692,  0.0179,  0.0000, -0.3598
         CN num,  Pt bond length, sub surface Ni num,  0.1490,  0.1477,  0.0596,  0.0660, -1.6208,  0.0593,  0.0642, -1.6096
sub surface Ni num,  Pt bond length,          CN num,  0.1296,  0.1285,  0.0181,  0.1792, -1.7267,  0.0176,  0.1782, -1.7162
         CN num, sub surface Ni num,    surface curv,  0.2522,  0.2472,  0.0183,  0.0000, -0.3692,  0.0179,  0.0000, -0.3598
         CN num,    surface curv, sub surface Ni num,  0.2571,  0.2519,  0.0000,  0.1445, -0.3640,  0.0000,  0.1428, -0.3549
sub surface Ni num,    surface curv,          CN num,  0.1343,  0.1329,  0.4207,  0.1872, -1.7677,  0.4768,  0.1861, -1.7572
         CN num, sub surface Ni num,      chemSROP11,  0.2522,  0.2472,  0.0183,  0.0000, -0.3692,  0.0179,  0.0017, -0.3598
         CN num,      chemSROP11, sub surface Ni num,  0.2571,  0.2519,  0.0000,  0.1445, -0.3640,  0.0000,  0.1428, -0.3549
sub surface Ni num,      chemSROP11,          CN num,  0.1343,  0.1331,  0.0536,  0.1879, -1.7703,  0.0238,  0.1871, -1.7610
         CN num, sub surface Ni num,      chemSROP12,  0.2521,  0.2471,  0.0184,  0.0359, -0.3702,  0.0181,  0.0618, -0.3613
         CN num,      chemSROP12, sub surface Ni num,  0.2570,  0.2516,  0.0082,  0.1459, -0.3659,  0.0111,  0.1444, -0.3571
sub surface Ni num,      chemSROP12,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num, sub surface Ni num,      chemSROP22,  0.2521,  0.2471,  0.0184,  0.0183, -0.3704,  0.0181,  0.0234, -0.3612
         CN num,      chemSROP22, sub surface Ni num,  0.2569,  0.2517,  0.0036,  0.1462, -0.3660,  0.0044,  0.1445, -0.3570
sub surface Ni num,      chemSROP22,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num, sub surface Ni num,       gCN-Ni-Ni,  0.2522,  0.2472,  0.0183,  0.0000, -0.3692,  0.0179,  0.0000, -0.3598
         CN num,       gCN-Ni-Ni, sub surface Ni num,  0.2571,  0.2519,  0.0000,  0.1445, -0.3640,  0.0000,  0.1428, -0.3549
sub surface Ni num,       gCN-Ni-Ni,          CN num,  0.1323,  0.1313,  0.0225,  0.1840, -1.7496,  0.0199,  0.1836, -1.7418
         CN num, sub surface Ni num,       gCN-Ni-Pt,  0.2522,  0.2472,  0.0183,  0.0000, -0.3692,  0.0179,  0.0000, -0.3598
         CN num,       gCN-Ni-Pt, sub surface Ni num,  0.2570,  0.2517,  0.0017,  0.1348, -0.3693,  0.0023,  0.1297, -0.3620
sub surface Ni num,       gCN-Ni-Pt,          CN num,  0.1315,  0.1302,  0.0220,  0.1818, -1.7383,  0.0217,  0.1809, -1.7284
         CN num, sub surface Ni num,       gCN-Pt-Ni,  0.2450,  0.2393,  0.0142,  0.1379, -0.4680,  0.0139,  0.1409, -0.4621
         CN num,       gCN-Pt-Ni, sub surface Ni num,  0.2326,  0.2277,  0.0281,  0.0753, -0.5217,  0.0273,  0.0772, -0.5110
sub surface Ni num,       gCN-Pt-Ni,          CN num,  0.1282,  0.1273,  0.0461,  0.1773, -1.7130,  0.0449,  0.1764, -1.7028
         CN num, sub surface Ni num,       gCN-Pt-Pt,  0.1754,  0.1768,  0.0287,  0.1241, -0.9579,  0.0279,  0.1199, -0.9312
         CN num,       gCN-Pt-Pt, sub surface Ni num,  0.1535,  0.1547,  0.0135,  0.2121, -0.8774,  0.0132,  0.2078, -0.8606
sub surface Ni num,       gCN-Pt-Pt,          CN num,  0.1272,  0.1261,  0.0180,  0.1743, -1.6947,  0.0175,  0.1732, -1.6831
         CN num, sub surface Ni num,        gCN-Ni-X,  0.2522,  0.2472,  0.0183,  0.0000, -0.3692,  0.0179,  0.0000, -0.3598
         CN num,        gCN-Ni-X, sub surface Ni num,  0.2571,  0.2519,  0.0000,  0.1445, -0.3640,  0.0000,  0.1427, -0.3550
sub surface Ni num,        gCN-Ni-X,          CN num,  0.1316,  0.1305,  0.0123,  0.1824, -1.7410,  0.0115,  0.1818, -1.7326
         CN num, sub surface Ni num,        gCN-Pt-X,  0.1511,  0.1521,  0.0260,  0.1403, -1.1351,  0.0255,  0.1375, -1.1149
         CN num,        gCN-Pt-X, sub surface Ni num,  0.1317,  0.1323,  0.0136,  0.1793, -0.9589,  0.0134,  0.1768, -0.9467
sub surface Ni num,        gCN-Pt-X,          CN num,  0.1269,  0.1259,  0.0139,  0.1742, -1.6946,  0.0135,  0.1732, -1.6834
         CN num, sub surface Ni num,           CN-Pt,  0.1613,  0.1615,  0.0252,  0.1189, -1.1857,  0.0246,  0.1165, -1.1648
         CN num,           CN-Pt, sub surface Ni num,  0.1357,  0.1358,  0.0115,  0.1698, -0.9926,  0.0114,  0.1669, -0.9806
sub surface Ni num,           CN-Pt,          CN num,  0.1273,  0.1263,  0.0104,  0.1749, -1.6998,  0.0101,  0.1740, -1.6889
         CN num, sub surface Ni num,  exp neg strain,  0.2489,  0.2431,  0.0175,  0.7042, -1.0649,  0.0171,  0.7993, -1.1489
         CN num,  exp neg strain, sub surface Ni num,  0.1161,  0.1141,  0.1800,  0.0353, -1.7154,  0.1791,  0.0354, -1.7041
sub surface Ni num,  exp neg strain,          CN num,  0.1287,  0.1275,  0.0537,  0.1784, -1.7233,  0.0525,  0.1775, -1.7122
         CN num, sub surface Ni num,          strain,  0.2522,  0.2472,  0.0183,  0.0000, -0.3692,  0.0179,  0.0000, -0.3598
         CN num,          strain, sub surface Ni num,  0.2571,  0.2519,  0.0000,  0.1445, -0.3640,  0.0000,  0.1428, -0.3549
sub surface Ni num,          strain,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7612
         CN num, sub surface Ni num,  inverse strain,  0.2522,  0.2472,  0.0183,  0.0000, -0.3692,  0.0179,  0.0000, -0.3598
         CN num,  inverse strain, sub surface Ni num,  0.2571,  0.2519,  0.0000,  0.1445, -0.3640,  0.0000,  0.1428, -0.3549
sub surface Ni num,  inverse strain,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,             BOO,  Pt bond length,  0.1806,  0.1809,  0.1490,  0.0000, -1.3957,  0.1450,  0.0000, -1.3616
         CN num,  Pt bond length,             BOO,  0.1566,  0.1549,  0.0634,  0.0000, -1.6690,  0.0631,  0.0000, -1.6596
            BOO,  Pt bond length,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,             BOO,    surface curv,  0.1806,  0.1809,  0.1490,  0.0000, -1.3957,  0.1450,  0.0000, -1.3616
         CN num,    surface curv,             BOO,  0.2794,  0.2741,  0.0000,  0.1114, -0.3951,  0.0000,  0.0868, -0.3625
            BOO,    surface curv,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,             BOO,      chemSROP11,  0.1801,  0.1806,  0.1493,  0.0974, -1.3975,  0.1451,  0.0725, -1.3618
         CN num,      chemSROP11,             BOO,  0.2793,  0.2740,  0.0063,  0.1162, -0.3993,  0.0058,  0.0894, -0.3647
            BOO,      chemSROP11,          CN num,  0.1343,  0.1330,  0.0623,  0.1880, -1.7709,  0.0502,  0.1871, -1.7606
         CN num,             BOO,      chemSROP12,  0.1806,  0.1809,  0.1490,  0.0000, -1.3957,  0.1450,  0.0000, -1.3617
         CN num,      chemSROP12,             BOO,  0.2794,  0.2741,  0.0000,  0.1114, -0.3951,  0.0000,  0.0868, -0.3626
            BOO,      chemSROP12,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,             BOO,      chemSROP22,  0.1806,  0.1809,  0.1490,  0.0000, -1.3957,  0.1450,  0.0000, -1.3617
         CN num,      chemSROP22,             BOO,  0.2794,  0.2741,  0.0000,  0.1114, -0.3951,  0.0000,  0.0868, -0.3626
            BOO,      chemSROP22,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,             BOO,       gCN-Ni-Ni,  0.1747,  0.1755,  0.1483,  0.0893, -1.4200,  0.1440,  0.0876, -1.3831
         CN num,       gCN-Ni-Ni,             BOO,  0.2696,  0.2646,  0.0173,  0.3217, -0.6403,  0.0172,  0.2684, -0.5801
            BOO,       gCN-Ni-Ni,          CN num,  0.1342,  0.1328,  0.0209,  0.1867, -1.7671,  0.0215,  0.1858, -1.7572
         CN num,             BOO,       gCN-Ni-Pt,  0.1779,  0.1776,  0.1467,  0.0448, -1.4102,  0.1424,  0.0500, -1.3786
         CN num,       gCN-Ni-Pt,             BOO,  0.2659,  0.2601,  0.0146,  0.2667, -0.6269,  0.0148,  0.2386, -0.5931
            BOO,       gCN-Ni-Pt,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0021,  0.1869, -1.7606
         CN num,             BOO,       gCN-Pt-Ni,  0.1715,  0.1718,  0.1398,  0.1217, -1.4293,  0.1354,  0.1220, -1.3935
         CN num,       gCN-Pt-Ni,             BOO,  0.2367,  0.2327,  0.0346,  0.3272, -0.8352,  0.0336,  0.2804, -0.7780
            BOO,       gCN-Pt-Ni,          CN num,  0.1338,  0.1324,  0.0347,  0.1835, -1.7632,  0.0333,  0.1827, -1.7525
         CN num,             BOO,       gCN-Pt-Pt,  0.1805,  0.1809,  0.1481,  0.0014, -1.3952,  0.1446,  0.0007, -1.3615
         CN num,       gCN-Pt-Pt,             BOO,  0.2192,  0.2176,  0.0110,  0.0000, -0.6815,  0.0107,  0.0000, -0.6654
            BOO,       gCN-Pt-Pt,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,             BOO,        gCN-Ni-X,  0.1760,  0.1761,  0.1468,  0.0363, -1.4174,  0.1426,  0.0379, -1.3838
         CN num,        gCN-Ni-X,             BOO,  0.2654,  0.2599,  0.0094,  0.3244, -0.6758,  0.0094,  0.2827, -0.6282
            BOO,        gCN-Ni-X,          CN num,  0.1345,  0.1330,  0.0031,  0.1874, -1.7695,  0.0052,  0.1862, -1.7588
         CN num,             BOO,        gCN-Pt-X,  0.1786,  0.1791,  0.1315,  0.0245, -1.3939,  0.1281,  0.0240, -1.3619
         CN num,        gCN-Pt-X,             BOO,  0.1888,  0.1877,  0.0126,  0.0000, -0.8255,  0.0124,  0.0000, -0.8124
            BOO,        gCN-Pt-X,          CN num,  0.1345,  0.1331,  0.0009,  0.1873, -1.7701,  0.0000,  0.1871, -1.7611
         CN num,             BOO,           CN-Pt,  0.1789,  0.1793,  0.1338,  0.0195, -1.4117,  0.1300,  0.0194, -1.3792
